# Pan-Arabic high-frequency formulas — loaded for EVERY dialect setting (including فصحى فقط),
# merged on top of the selected dialect overlay by DialectOverlay.kt.
# columns: text<TAB>freq(200-255) — multi-word phrases auto-decompose into bigram+trigram chains,
# which is how a 5+ word formula like «وعليكم السلام ورحمة الله وبركاته» chains word by word.
السلام عليكم ورحمة الله وبركاته	250
وعليكم السلام ورحمة الله وبركاته	250
إنا لله وإنا إليه راجعون	248
بسم الله الرحمن الرحيم	248
صلى الله عليه وسلم	246
لا حول ولا قوة إلا بالله	245
جزاك الله خيرا	245
بارك الله فيك	245
كل عام وأنتم بخير	245
الله يعطيك العافية	244
الحمد لله رب العالمين	244
جمعة مباركة	244
لا إله إلا الله محمد رسول الله	244
ما شاء الله تبارك الله	243
حسبي الله ونعم الوكيل	242
في أمان الله	242
تقبل الله منا ومنكم	241
اللهم صل وسلم على نبينا محمد	240
أستغفر الله العظيم وأتوب إليه	240
سبحان الله وبحمده سبحان الله العظيم	240
تصبحون على خير	240
رحمه الله وأسكنه فسيح جناته	238
وإياكم إن شاء الله	238
