# Egyptian Arabic curated lexicon — category: religious
# columns: text<TAB>freq(200-255)
الحمدلله	254
يا رب	252
ان شاء الله	250
يارب	248
والله	246
ربنا يخليك	244
الحمد لله	240
ما شاء الله	240
والنبي	240
انشاء الله	238
ربنا يستر	238
ربنا	238
امين	236
الله يرحمه	236
ربنا يسهل	236
بسم الله	234
والله العظيم	234
الله يخليك	234
ربنا يوفقك	234
الله ينور	234
ربنا يكرمك	232
استغفر الله	232
الله يستر	232
جمعة مباركة	232
اللهم امين	232
حمدلله	232
سبحان الله	230
انشالله	230
ربنا معاك	230
الله اعلم	230
دعواتك	230
امين يا رب	230
يا ربي	230
ربنا يرحمه	230
ربنا يشفيك	228
الله اكبر	228
رمضان كريم	228
ادعيلي	228
ربنا موجود	228
لا اله الا الله	226
ربنا يحفظك	226
الله يسامحك	226
الله ينور عليك	226
ماشالله	226
الله كريم	226
حرام	226
صلي على النبي	226
ربنا يخليكي	224
ربنا كبير	224
ربنا يهديك	224
وربنا	224
الحمدلله على كل حال	224
خليها على الله	224
ماشاء الله	224
حلال	224
جزاك الله خير	222
وحياتك	222
ربنا يسعدك	222
الصلاة على النبي	222
الله يرحمها	222
حسبي الله ونعم الوكيل	220
ربنا يسهلها	220
الله يهديك	220
الصلاة	220
دعواتكم	220
يا ساتر	220
بالله عليك	220
الله يرضى عليك	216
ربنا يرضى عليك	214
ربنا يعوضك	218
وحياة النبي	218
توكلنا على الله	218
البقاء لله	218
استغفر الله العظيم	218
يا لطيف	218
بسم الله الرحمن الرحيم	218
الله يحفظك	218
على الله	218
صليت	218
ربنا يشفيه	218
لا حول ولا قوة الا بالله	216
ربنا يسامحك	216
بارك الله فيك	216
الله المستعان	216
صلاة الجمعة	216
في امان الله	216
ربنا يخليكم	216
خيرها في غيرها	216
ربنا ما يحرمنا منك	216
صلى الله عليه وسلم	216
ادعولي	216
بعيد الشر	214
ربنا يتقبل	214
في حفظ الله	214
البقية في حياتك	214
ربنا يفرحك	214
خمسة وخميسة	214
الشكر لله	214
على بركة الله	214
الحمدلله رب العالمين	214
هصلي	214
يا رب يا كريم	212
يا حافظ	212
ربنا يرحمنا	212
توكل على الله	212
ربنا يصبرك	212
اللهم بارك	212
الشر بره وبعيد	212
محتاج دعواتكم	212
يا رب العالمين	212
الفجر	212
ربنا ينور طريقك	210
اللهم لا حسد	210
تقبل الله	210
ربنا يبارك	210
بسم الله ما شاء الله	210
تبارك الله	208
عليه الصلاة والسلام	208
