# Gulf Arabic curated lexicon — category: greetings
# columns: text<TAB>freq(200-255)
هلا	255
هلا والله	250
هلا وغلا	242
يا هلا	240
هلا بك	236
هلا فيك	238
هلا بكم	224
اهلين	234
مرحبا	238
مراحب	224
يا مرحبا	218
حياك	246
حياك الله	244
حياكم	230
حياج	224
الله يحييك	228
السلام عليكم	246
وعليكم السلام	240
عليكم السلام	226
سلام	236
باي	240
يلا باي	228
باي باي	220
مع السلامه	238
في امان الله	230
اشوفك بعدين	222
اشوفكم على خير	216
صباح الخير	250
صباح النور	244
صباح الورد	230
صبحكم الله بالخير	228
صبحك الله بالخير	226
مساء الخير	238
مساء النور	230
مسا الخير	224
مساكم الله بالخير	222
مساك الله بالخير	226
الله بالخير	232
يسعد صباحك	224
يسعد مساك	222
تصبح على خير	240
تصبحون على خير	230
تصبحين على خير	218
وانت من اهله	228
نوم العوافي	226
احلام سعيده	218
شخبارك	252
شخبارج	230
شخباركم	232
شخبار	224
اخبارك	236
اخباركم	222
عساك طيب	228
عساك بخير	220
عساكم طيبين	222
كيف الحال	234
كيف حالك	226
شلونك	250
شلونكم	234
شلونج	232
شحالك	238
شحالكم	222
وش علومك	228
علومك	224
وش مسوي	236
شمسوي	222
وش مسوين	218
بخير	234
بخير الحمدلله	226
شكرا	242
مشكور	244
مشكوره	228
مشكورين	222
تسلم	240
تسلمين	226
تسلمون	218
تسلم يدك	218
الله يسلمك	236
يعطيك العافيه	246
الله يعطيك العافيه	250
الله يعافيك	238
ما قصرت	242
ما قصرتوا	224
ما قصرتي	216
العفو	232
ولا يهمك	230
لا شكر على واجب	216
تكفى	238
تكفون	228
لو سمحت	236
لو سمحتي	220
لو تكرمت	216
بعد اذنك	222
ما عليك امر	224
اذا ما عليك امر	218
مبروك	238
الف مبروك	232
مبارك	220
عقبالك	228
تستاهل	234
تستاهلين	218
تستاهلون	216
تشرفنا	220
نورت	232
نورتنا	224
منور	236
منوره	220
منورين	216
وحشتني	234
وحشتنا	222
وحشتوني	216
اشتقنا لك	224
اشتقنالك	216
طال عمرك	234
عساك على القوه	226
قواك الله	220
تفضل	234
تفضلي	222
تفضلوا	216
اسف	234
اسفه	222
اسف على التأخير	220
حمدلله على السلامه	234
الحمدلله على السلامه	228
سلامتك	236
سلامات	228
ما تشوف شر	232
الف سلامه	218
اجر وعافيه	224
طهور ان شاء الله	216
عيدكم مبارك	226
عساكم من عواده	224
كل عام وانتم بخير	228
وانتم بخير	220
بالتوفيق	230
موفق	224
موفقين	216
ودعتك الله	218
تحياتي	220
سلملي عليهم	222
سلملي على اهلك	216
بلغ سلامي	218
