# Gulf Arabic curated lexicon — category: people
# columns: text<TAB>freq(200-255)
اخوي	248
اختي	244
ابوي	242
امي	246
يمه	244
يبه	236
ابوك	222
امك	224
اخوك	226
اختك	220
اهلي	240
اهلك	234
الاهل	222
اهل البيت	218
الوالد	232
الوالده	234
الوالدين	226
جدي	224
جدتي	222
عمي	230
عمتي	222
خالي	228
خالتي	226
عمك	216
خالك	216
ابن عمي	220
بنت عمي	216
بنت خالتي	216
اخواني	218
خواتي	220
اخوان	216
ولدي	228
بنتي	230
ولد	226
بنت	232
بنات	230
اولاد	226
عيال	238
العيال	230
عيالك	220
عيالنا	216
ام العيال	218
ياهل	226
يهال	220
بيبي	222
طفل	216
اطفال	218
زوجي	224
زوجتي	226
مرتي	228
ريلي	222
حرمته	220
حريم	224
رجال	230
رجاجيل	216
عروس	216
معرس	216
ربعي	236
الربع	232
ربعك	222
يالربع	234
صاحبي	238
صاحبتي	222
صاحبك	224
صديقتي	218
اصحابي	226
اصحاب	218
خوي	230
ياخوي	236
رفيجي	224
حبيبي	250
حبيبتي	240
حياتي	234
عمري	232
قلبي	236
يا قلبي	224
روحي	228
الغالي	238
الغاليه	224
يا غالي	226
غناتي	222
يا بعد حيي	218
يا بعد عمري	220
تاج راسي	216
حبايبي	228
الحبايب	224
عيوني	230
عيونك	222
يا عيوني	216
نور عيني	216
شباب	238
يا شباب	232
الشباب	228
يا بنات	224
جماعه	230
يا جماعه	234
الجماعه	222
الناس	236
ناس	232
العالم	224
الكل	226
يا رجال	226
دكتور	230
دكتوره	220
استاذ	228
استاذه	218
مدير	224
المدير	220
موظف	216
مهندس	218
شيخ	224
ابو	234
ام	236
بو	226
جار	216
جيران	224
الجيران	220
ضيف	218
ضيوف	222
معازيم	216
فلان	220
انسان	222
بني ادم	220
بنادم	216
شخص	220
بشر	218
