# Gulf Arabic curated lexicon — category: questions
# columns: text<TAB>freq(200-255)
وش	255
ايش	246
شنو	244
ليش	254
ليه	242
وين	253
متى	244
كم	244
بكم	240
مين	248
منو	242
منهو	230
شلون	250
اشلون	228
كيف	240
شسمه	238
شفيك	244
شفيه	240
شفيها	222
وش فيه	244
وش فيك	242
وش فيها	224
وش عندك	236
وش صار	240
وش تبي	242
وش تبين	224
وش تبغى	232
وش تسوي	244
وش تسوون	226
وش رايك	244
وش رايكم	224
وش اخبارك	236
وش الاخبار	232
وش القصه	230
وش السالفه	238
وش الوضع	234
وش المشكله	226
وش الحل	224
وش صاير	224
وش قلت	228
وش قال	226
وش يعني	230
يعني وش	228
وش بعد	226
وش اسمه	224
وش اسمك	228
وش سويت	232
وش سويتوا	218
وش تشتغل	220
وش دعوه	230
وش ذا	228
وش هذا	224
وشو	232
وش ودك	226
ليش كذا	236
ليش لا	238
ليش ما رديت	226
ليش محد رد	216
ليش ساكت	218
وين انت	240
وين انتي	226
وين رحت	234
وين راح	224
وين كنت	230
وين رايح	232
وين رايحين	224
وينك	250
وينكم	236
وينه	234
وينها	224
وين تسكن	222
وين الغدا	222
وين نتغدى	220
من وين	234
من وين انت	220
لوين	228
لوين رايح	222
متى تجي	228
متى نروح	222
متى ترجع	224
متى نشوفك	218
متى الاختبار	216
متى الدوام	224
متى الراتب	218
كم الساعه	236
كم سعره	228
كم صارله	218
كم باقي	226
كم يبيله	220
شلونه	230
شلونها	224
شلونهم	220
شلون العايله	218
شلون الاهل	222
مع مين	224
لمين	226
حق مين	222
منو معك	216
مين معك	220
مين قال	222
مين قالك	218
على وش	226
عن وش	220
علام	222
عشان وش	218
صدق ولا لا	224
تبي ولا لا	218
ايش فيك	226
ايش رايك	228
ايش تبي	226
ايش صار	222
ايش اخبارك	224
وايش	220
شنهو	220
شنو رايك	218
شنو صار	216
هاه	234
وش عندكم	222
