# Gulf Arabic curated lexicon — category: timeplace
# columns: text<TAB>freq(200-255)
الحين	252
دحين	238
اليوم	250
امس	244
اول امس	222
بكره	248
بكرا	224
بعد بكره	228
بكره الصبح	222
باكر	232
الليله	240
الليل	226
بالليل	232
الصبح	238
من الصبح	226
الصباح	220
الظهر	230
بعد الظهر	218
قبل الظهر	216
العصر	232
بعد العصر	222
المغرب	234
بعد المغرب	224
العشاء	222
الفجر	228
دقيقه	234
دقايق	228
خمس دقايق	226
ثانيه	222
ثواني	230
لحظه	236
ساعه	234
ساعتين	220
نص ساعه	224
ربع ساعه	216
بعد شوي	242
قبل شوي	236
كل شوي	226
هالحزه	222
اسبوع	230
الاسبوع	224
بعد اسبوع	218
قبل اسبوع	216
الاسبوع الجاي	226
شهر	228
الشهر	222
الشهر الجاي	222
اول الشهر	218
اخر الشهر	222
سنه	230
السنه	226
السنه الجايه	218
سنين	220
يوم	238
يومين	224
كل يوم	236
كل اسبوع	216
يوميا	218
الايام	222
هالايام	228
ذيك الايام	216
الجمعه	230
يوم الجمعه	224
السبت	226
الاحد	228
الاثنين	224
الثلاثاء	220
الاربعاء	218
الخميس	232
يوم الخميس	220
رمضان	230
العيد	234
عيد الفطر	220
عيد الاضحى	218
قبل	238
قبلها	220
بعدها	224
من زمان	238
زمان	234
من قبل	222
اول	232
من اول	218
اول شي	230
اخر شي	234
بالاخير	222
اخيرا	226
اخر الليل	216
طول اليوم	222
طول الليل	218
بدري	228
متأخر	230
تأخرت	232
تأخرنا	216
لا تتأخر	224
متأخرين	216
هني	236
هنيه	220
هنا	238
هناك	226
فوق	230
تحت	226
جنب	228
جنبك	216
قدام	232
ورا	230
وراك	218
داخل	222
برا	234
عند	224
مكان	222
الرياض	234
جده	230
الدمام	222
مكه	232
المدينه	226
الخبر	216
الطايف	216
دبي	236
ابوظبي	226
الشارقه	216
العين	216
الكويت	234
الدوحه	222
البحرين	224
مسقط	218
السعوديه	228
الامارات	226
قطر	222
عمان	216
المطار	226
طيران	216
دايم	236
دايما	228
دوم	230
احيانا	224
ساعات	226
الصيف	226
الشتاء	224
الشتا	220
نص الليل	218
تو الناس	224
