# Iraqi Arabic curated lexicon — category: people
# columns: text<TAB>freq(200-255)
حبيبي	255
حبيبتي	248
حبي	246
حياتي	244
عيوني	242
عيني	250
روحي	240
عمري	242
يا عمري	230
الغالي	240
الغالية	232
غناتي	238
عزيزي	234
عزيزتي	226
فدوة	244
فدوة الك	232
اخوية	246
اختي	244
ابوية	242
امي	244
يمه	250
يابه	248
بابا	240
ماما	238
جدو	230
بيبي	236
عمو	238
عمتي	232
خالو	234
خالتي	236
خالة	228
عمة	226
عمي	240
خالي	238
ابن عمي	232
بنت عمي	226
ابن خالتي	224
اهلي	242
اهلك	236
اهلنا	230
هلي	232
ولدي	238
بنتي	236
بنية	238
بنيتي	230
ابني	234
زوجتي	232
زوجي	230
مرتي	234
خطيبي	224
خطيبتي	222
صاحبي	240
صاحبتي	230
صديقتي	226
ربعي	238
الربع	230
جيراننا	224
الجيران	228
استاذ	238
استاذة	228
دكتور	236
دكتورة	226
معلم	230
مدير	226
شباب	240
يا شباب	234
بنات	236
يا بنات	226
خوش ولد	238
خوش بنية	230
خوش انسان	228
ابن حلال	230
بنت حلال	224
يا اخي	238
رجال	236
نسوان	230
جهال	238
جاهل	232
الجهال	228
عريس	226
عروس	224
حجي	236
حجية	226
حبايب	232
حبايبي	234
اخوك	236
اختك	226
بعد عمري	232
بعد روحي	228
بعد قلبي	224
كذاب	232
كذابة	222
زلمة	228
يا حبيبي	242
يا حبي	232
يا ورد	226
قلبي	240
حبيب قلبي	230
يا غالي	228
ام العيال	222
ابو العيال	224
العيال	228
عيالي	226
اخوان	224
اخواتي	226
خواتي	228
ولد اختي	220
بنت اختي	218
ولد اخوية	220
جارتنا	218
ابو فلان	216
الوالد	230
الوالدة	228
ستي	224
عجوز	220
شايب	224
شباب المحلة	218
اصحابي	232
صديق عمر	220
رفيقي	226
رفيجي	230
