# Iraqi Arabic curated lexicon — category: religious
# columns: text<TAB>freq(200-255)
الله يخليك	252
الله يخليج	244
الله يخليكم	238
الله يحفظك	244
الله يحفظكم	232
الله يحفظج	228
الله كريم	242
الله يساعدك	238
الله يساعدنا	232
الله يعينك	240
الله يعينهم	228
الله يوفقك	242
الله يوفقج	230
الله يوفقكم	228
بالتوفيق	240
انشالله	252
ان شالله	240
ماشالله	244
ما شالله	236
سبحان الله	240
استغفر الله	238
استغفرالله	232
الحمدلله	252
الحمد لله	240
الحمدلله رب العالمين	230
لا اله الا الله	236
بسم الله	238
يا الله	242
يا رب	250
يارب	244
يا ربي	246
ياربي	238
ربي يحفظك	230
الله يرحمه	240
الله يرحمها	232
الله يرحم والديك	234
الله يصبرك	232
الله يشفيه	232
الله يشفيها	226
الله يشافيك	228
الله يبارك	236
بارك الله بيك	234
الله يبارك بيك	230
جمعة مباركة	240
رمضان كريم	236
عيدكم مبارك	234
كل عام وانتم بخير	230
تقبل الله	232
تقبل الله طاعتكم	226
صايم	234
صايمة	226
صليت	234
اصلي	232
اذان	228
رمضان	242
العيد	240
عيدية	230
ادعيلي	240
ادعولي	232
دعواتك	238
دعواتكم	230
صلوات	238
اللهم صل على محمد	234
يا حسين	238
يا علي	244
يا عباس	240
حرام	240
حرام عليك	238
حلال	236
عيب عليك	234
الله يستر	240
يا ساتر	234
توكل على الله	230
توكلت على الله	226
الله وكيلك	240
والله	254
والله العظيم	240
وربي	242
بالله	238
بالله عليك	236
اقسم بالله	230
خير انشالله	234
البقية بحياتك	230
عظم الله اجركم	226
مأجورين	228
زيارة مقبولة	232
الله ينطيك العافية	236
الله ينطيك خير	228
اجر وعافية	226
الفاتحة	228
الله اكبر	238
لا حول ولا قوة بالله	224
حسبي الله	230
عليه السلام	230
صلى الله عليه وسلم	228
الله يسهلها	226
الله يفرجها	234
الله يفرج همك	226
يا فرج الله	222
الله موجود	232
حسبالله	220
استودعتك الله	222
الله يحميك	234
الله يحميكم	224
الله يرزقك	228
الله يهديك	232
الله يهديه	224
هداية	218
نذر	222
زيارة	228
الامام	226
جامع الامام	218
دعوة صالحة	220
صدقة	224
خيرها بغيرها	228
قسمة ونصيب	230
قسمة	226
نصيب	230
مكتوب	224
توكلنا على الله	220
