# Levantine (Syrian) curated lexicon — category: greetings
# columns: text<TAB>freq(200-255)
مرحبا	255
هلا	254
الحمدلله	253
يسلمو	252
صباح الخير	250
يعطيك العافية	250
شكرا	250
اهلين	246
باي	246
تسلم	244
الله يعافيك	244
مسا الخير	242
تصبح على خير	242
صباح النور	240
الله يسلمك	240
مع السلامة	241
السلام عليكم	240
أهلين	238
مساء الخير	238
الله معك	238
هلو	238
صباحو	238
شو اخبارك	238
مبروك	246
سلام	236
العفو	237
الله يخليك	240
تكرم	234
يلا باي	234
وعليكم السلام	234
ولا يهمك	234
ميرسي	234
وحشتني	234
تفضل	234
تمام الحمدلله	232
اسف	232
نورت	232
اهلا وسهلا	232
يا هلا	230
تكرم عينك	230
منور	230
معليش	230
دير بالك	230
كيف الحال	234
يسلمو ايديك	230
شكرا كتير	233
تصبحي على خير	230
مسا النور	230
أهلا وسهلا	228
تسلم ايدك	228
الله يسعدك	230
كيفك انت	228
جمعة مباركة	234
الف مبروك	238
سلامتك	242
هلا والله	233
وانت من اهلو	228
صباح الورد	226
تسلمي	226
بخاطرك	226
الله يوفقك	237
وانت كيفك	226
منيح الحمدلله	226
حمدلله عالسلامة	226
نعيما	232
يسعد صباحك	232
كيف حالك	232
هلا فيك	226
مساء النور	226
اهلا	228
مراحب	224
اهلين فيك	224
معلش	232
عقبالك	240
صحتين	236
ماشي الحال	224
شو الاخبار	232
تصبحو على خير	224
الله يحميك	236
الله يرحمو	230
مرحبتين	222
تسلملي	222
وحشتيني	222
سلامات	228
كل شي تمام	222
سلملي عليه	222
بخير	220
اهلا فيك	220
كلو تمام	224
يوصل	220
نورتنا	220
تسلم ايديك	220
يلا سلام	220
هلا حبيبي	220
كيفو	220
منيحين	218
الحمدلله بخير	218
باي باي	218
تفضلي	218
منورة	218
الله يبارك فيك	224
الله يقويك	218
يسعد قلبك	218
الله يرضى عليك	222
مشتاقلك	218
صح النوم	218
يسعد مساك	228
صباح الفل	218
سلام عليكم	218
كيفك انتي	216
شكرا الك	216
يسلمو دياتك	216
تكرم عيونك	216
يعطيكي العافية	224
الله يعطيك العافية	243
اتفضل	216
عن اذنك	216
منشوفك	216
منحكي بعدين	218
مشتاقين	216
على قلبك	218
اسفة	216
سامحني	216
يا ميت هلا	216
حياك الله	214
كيف الصحة	216
شلونكن	214
شو الوضع	222
شو في مافي	214
الله يجزيك الخير	234
نورتي	214
البيت بيتك	214
الله معكن	214
سلملي عليها	214
بوسلي الولاد	214
اشتقتلكن	214
الحمدلله عالسلامة	234
تحياتي	214
تصبح عخير	214
هلا بالغالي	212
زمان عنك	212
ميرسي كتير	212
يعطيكن العافية	212
جزاك الله خير	230
منورين	212
دير بالك عحالك	212
انتبه لحالك	212
اشتقنالك	212
وانا اكتر	212
الله ينعم عليك	215
ينعاد عليك	226
عفوا	212
ميت هلا	210
يسعدلي صباحك	210
وانتي كيفك	210
كيف الاهل	212
الله يخليلي ياك	210
ديري بالك	210
نشوفك على خير	210
سلامي للجميع	210
الف سلامة	222
ما تواخذني	210
اهلين حبيبي	210
مساء الورد	208
رمضان كريم	218
انت كيفك	208
لا شكر عواجب	208
النور نورك	208
تفضلو	208
سلميلي عليه	208
وحشتوني	208
صحتين وعافية	220
ما تشوف شر	224
ولا تهتم	208
صباح الخيرات	206
وانتي من اهلو	206
كيف الاحوال	206
كيف الولاد	206
شلونو	206
تمامات	206
عوافي	220
بارك الله فيك	226
سلملي على الجماعة	206
الكل بسلم عليك	206
نهارك سعيد	204
نورتو	204
بخاطركن	204
الشر ما بجيك	204
الله اكرم	204
جمعتكن مباركة	202
عن اذنكن	202
تسلمولي	202
