# Levantine (Syrian) curated lexicon — category: timeplace
# columns: text<TAB>freq(200-255)
اليوم	253
بكرا	252
مبارح	246
أول مبارح	226
قبل شوي	234
من شوي	222
عبكرا	228
عالصبح	236
الصبح	234
من الصبح	218
بالليل	238
عالليل	226
الليل	212
نص الليل	204
الليلة	228
عالمسا	212
المسا	208
الضهر	216
بعد الضهر	212
عالضهر	204
العصر	208
المغرب	205
عالفجر	202
ساعة	242
الساعة	228
ساعتين	220
نص ساعة	226
ربع ساعة	218
بعد ساعة	216
كمان ساعة	210
أي ساعة	212
قديش الساعة	216
دقيقة	236
دقيقتين	214
دقايق	218
خمس دقايق	216
عشر دقايق	208
ثانية	218
لحظة	232
يوم	234
يومين	220
تاني يوم	210
كل يوم	234
كل شوي	220
كل مرة	218
أسبوع	230
الأسبوع الجاي	218
الأسبوع الماضي	206
شهر	226
الشهر الجاي	208
شهرين	204
سنة	226
سنتين	203
هالسنة	210
هالشهر	206
هالأسبوع	208
هالأيام	216
هالفترة	210
فترة	212
من فترة	208
زمان	228
من زمان	236
وقت	230
الوقت	222
عالوقت	214
وقتها	220
لمن	212
قبل يومين	210
من يومين	214
من مبارح	212
بعد بكرا	222
بكرا الصبح	220
مبارح بالليل	206
لبكرا	216
لبعدين	214
بعدني	216
بعدك	206
صرلي	216
ساعات	216
أوقات	210
غالبا	206
عالأغلب	208
بالعادة	212
عادة	206
حوالي	216
عن قريب	208
أول شي	230
آخر شي	226
بالأول	208
بالآخر	210
أول	218
آخر	214
المرة الجاي	210
عطلة	214
العيد	218
الجمعة	222
السبت	220
الأحد	214
التنين	208
التلاتا	206
الأربعا	204
الخميس	218
موعد	212
من هون	218
وينكن	226
وينو	224
من وين	232
بيتنا	214
تحت البيت	208
عالشغل	236
بالشغل	232
عالدوام	216
عالجامعة	214
بالجامعة	210
عالمدرسة	208
عالسوق	214
عالضيعة	212
بالضيعة	206
عالشام	214
بالشام	212
لبرا	212
برا البلد	206
لفوق	214
لتحت	212
حد	220
حدي	214
حدك	206
جنب	224
مقابل	206
بالنص	214
عالباب	216
عاليمين	214
عالشمال	212
يمين	208
شمال	206
عالطريق	242
بالطريق	220
الطريق	214
وصلني	212
واصل	228
جاي	244
جاية	228
جايين	220
رايح	238
رايحة	222
رايحين	216
طالع	230
طالعة	212
طالعين	206
نازل	228
نازلة	208
نازلين	204
راجع	230
راجعة	210
راجعين	206
قربنا	214
قربت	210
مطرح	214
مكان	222
بالشارع	212
عالشارع	208
البلد	216
عالبلد	208
بالسيارة	212
بالباص	208
بالسرفيس	206
عالمطار	204
عالمشفى	208
عالجامع	206
عالخط	208
عالغدا	206
عالعشا	206
بالحارة	206
